Nome Origem;Latitude Origem;Longitude Origem;Nome Destino;Latitude Destino;Longitude Destino
C. PERNAMBUCO;-7.75794;-34.922756;Ambev S.A. - CDD Olinda;-8.003556252;-34.88893127
C. NOVA RIO;-22.86088943;-43.60284805;AMBEV S.A. - CDD VITÓRIA;-20.30796051;-40.39700699
C. JACAREÍ;-23.20459175;-46.01150513;Ambev S.A. - CDD Campinas;-22.73386192;-47.17038345
C. NOVA MINAS;-19.38153076;-44.20636749;CRBS S/A - CDL Santa Luzia;-19.80929375;-43.87496185
C. NOVA RIO;-22.86088943;-43.60284805;CRBS S/A - CDD Niteroi;-22.79733849;-42.98337936
C. AGUDOS;-22.4961338;-48.93306732;Ambev S.A. - CDD Ribeirao Preto;-21.19941139;-47.7554245
C. ÁGUAS CLARAS DO SUL;-30.17422167;-50.87137333;CRBS S/A - CDD Porto Alegre;-30.00937462;-51.31590271
C. NOVA RIO;-22.86088943;-43.60284805;F. CDR Extrema-DC;-22.86620903;-46.35194397
C. CAMAÇARI;-12.67709637;-38.32361984;CRBS S/A - CDD Salvador;-12.87359047;-38.42627335
C. ANÁPOLIS;-16.29935837;-48.81006622;Ambev S.A- CDD F. Brasilia;-16.00210571;-48.05215073
