Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
WWT Plant,WWT,Des_Cap,Design capacity of the WWT plant,7.6,Million Liter/day,4,,,,3,300,,
Screen Rejects,Screen,frac_sr-grit,Mass fraction influent into screen rejects and grit,0.0001,fraction,,,,,,,,
Screen Rejects,Screen,sol_cont_sr_grit,Solids content of the screen rejects and grit,0.65,fraction,,,,,0.5,0.9,[1],
Primary Settling,PrimSet,is_prim_set,Is there primary settling,1,"1:TRUE,0:FALSE",,,,,,,n/a,User should update based on process design
Primary Settling,PrimSet,frac_prim_solids,Mass fraction influent into settling that exits in the solids,0.004,fraction,,,,,,,[1],
Primary Settling,PrimSet,sol_cont_prim_solids,Solids content of primary solids - wet,0.06,fraction,,,,,0.04,0.08,[1],
Biological Treatmet,BioTrtmnt,sol_cont,Mixed liquor suspended solids (MLSS),3000,mg/L,4,,,,2000,4000,[1],
Biological Treatmet,BioTrtmnt,C_cont,Carbon content of the MLSS,0.5,kg TS/kg ,,,,,,,,
Biological Treatmet,BioTrtmnt,VS_cont,VS content of the MLSS - dry,0.8,kg VSS/kg TS,,,,,,,,
Thickening,Thick,is_prim_thick,Does primary sludge go to thickening,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Thickening,Thick,is_sec_thick,Does secondary sludge go to thickening,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Thickening,Thick,sol_cont_thick,Solids content after thickening,0.05,fraction,,,,,0.03,0.1,[1],
Dewatering,Dew,is_sol_dew,Are solids dewatered,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Dewatering,Dew,sol_cont_dewat,Solids content of dewatered solids ,0.22,kg TS/kg,,,,,0.15,0.3,[1],
Secondary Settling,SecSet,is_sec_set,Is there secondary settling,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Secondary Settling,SecSet,frac_sec_solids,Mass fraction influent into settling that exits in the solids,0.016,fraction,,,,,,,[1],
Drying,Dry,is_sol_dry,Are solids dried,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Drying,Dry,sol_cont_dry,Solids content of dried solids ,0.9,kg TS/kg,,,,,0.65,0.95,[1],
Drying,Dry,frac_PFAS_to_Vol,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (WWT),2.45,log L/kg OC,3,2.45,0.21,,1.43,3.49,,
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (WWT),3.2,log L/kg OC,3,3.2,0.19,,2.13,3.91,,
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (WWT),1.85,log L/kg OC,3,1.85,0.11,,0.96,2.81,,
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (WWT),1.78,log L/kg OC,3,1.78,0.08,,0.95,2.69,,
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (WWT),1.83,log L/kg OC,3,1.83,0.13,,1.02,2.76,,
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (WWT),2.23,log L/kg OC,3,2.23,0.16,,1.12,3.17,,
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (WWT),2.85,log L/kg OC,3,2.85,0.23,,1.54,3.75,,
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (WWT),3.43,log L/kg OC,3,3.43,0.19,,2.01,4.39,,
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (WWT),1.8,log L/kg OC,3,1.8,0.12,,1.01,2.65,,
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (WWT),2.28,log L/kg OC,3,2.28,0.2,,1.3,3.15,,
Log partition coefficient,LogPartCoef,5:3FTCA,5:3FTCA Log Koc (WWT),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTCA,6:2FTCA Log Koc (WWT),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,7:3FTCA,7:3FTCA Log Koc (WWT),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTS,6:2FTS Log Koc (WWT),2.26,log L/kg OC,3,2.26,0.18,,1.02,4.25,,
Log partition coefficient,LogPartCoef,MeFBSAA,MeFBSAA Log Koc (WWT),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (WWT),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFBSA,PFBSA Log Koc (WWT),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFPeS,PFPeS Log Koc (WWT),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
