Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
AD parameters,AD,frac_PFAS_to_Vol,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
AD parameters,AD,frac_VS_loss,Fraction VS destruction during AD,0.55,fraction,4,,,,0.45,0.65,,
AD parameters,AD,frac_cured,Fraction of digestate cured,1,fraction,,,,,,,,
AD parameters,AD,Reac_moist,Reactor moisture content _ wet,0.92,fraction,5,0.92,,,0.9,0.98,,
Dewatering,Dew,Digestate_moist,Moisture Content of Solids Stream After Dewatering,0.76,fraction,5,0.76,,,0.65,0.87,,
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.5,fraction C,,,,,,,,
Curing Input,Curing,ts_end,Solids content at the end of curing,0.5,fraction ts,,,,,,,,
Curing Input,Curing,bulk_dens,Bulk density of curing pile,400,kg/m3,,,,,,,,
Curing Input,Curing,wind_ht,Curing windrow height,4,m,,,,,,,,
Curing Input,Curing,wind_wid,Curing windrow width,6,m,,,,,,,,
Curing Input,Curing,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Curing Input,Curing,curing_time,Curing time,30,days,,,,,,,,
Precipitation Data,Precip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (AD),2.45,log L/kg OC,3,2.45,0.21,,1.43,3.49,,
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (AD),3.2,log L/kg OC,3,3.2,0.19,,2.13,3.91,,
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc  (AD),1.85,log L/kg OC,3,1.85,0.11,,0.96,2.81,,
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (AD),1.78,log L/kg OC,3,1.78,0.08,,0.95,2.69,,
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (AD),1.83,log L/kg OC,3,1.83,0.13,,1.02,2.76,,
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (AD),2.23,log L/kg OC,3,2.23,0.16,,1.12,3.17,,
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (AD),2.85,log L/kg OC,3,2.85,0.23,,1.54,3.75,,
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (AD),3.43,log L/kg OC,3,3.43,0.19,,2.01,4.39,,
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (AD),1.8,log L/kg OC,3,1.8,0.12,,1.01,2.65,,
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (AD),2.28,log L/kg OC,3,2.28,0.2,,1.3,3.15,,
Log partition coefficient,LogPartCoef,5:3FTCA,5:3FTCA Log Koc (AD),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTCA,6:2FTCA Log Koc (AD),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,7:3FTCA,7:3FTCA Log Koc (AD),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTS,6:2FTS Log Koc (AD),2.26,log L/kg OC,3,2.26,0.18,,1.02,4.25,,
Log partition coefficient,LogPartCoef,MeFBSAA,MeFBSAA Log Koc (AD),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (AD),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFBSA,PFBSA Log Koc (AD),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFPeS,PFPeS Log Koc (AD),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
