Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Total destruction and removal efficiency,DRE,PFOA,DRE of PFOA,0.9926,fraction,4,,,,0.9778,1,[67],
Total destruction and removal efficiency,DRE,PFOS,DRE of PFOS,0.99997,fraction,4,,,,0.99995,0.99999,[67],
Total destruction and removal efficiency,DRE,PFBA,DRE of PFBA,0.95043,fraction,4,,,,0.8805,0.9854,[67],
Total destruction and removal efficiency,DRE,PFPeA,DRE of PFPeA,0.94257,fraction,4,,,,0.8277,1,[67],
Total destruction and removal efficiency,DRE,PFHxA,DRE of PFHxA,0.99843,fraction,4,,,,0.9967,0.9997,[67],
Total destruction and removal efficiency,DRE,PFHpA,DRE of PFHpA,0.96303,fraction,4,,,,0.8891,1,[67],
Total destruction and removal efficiency,DRE,PFNA,DRE of PFNA,0.9926,fraction,4,,,,0.9788,1,[67],
Total destruction and removal efficiency,DRE,PFDA,DRE of PFDA,0.9997,fraction,,,,,,,[67],
Total destruction and removal efficiency,DRE,PFBS,DRE of PFBS,0.9995,fraction,4,,,,0.9987,1,[67],
Total destruction and removal efficiency,DRE,PFHxS,DRE of PFHxS,0.99993,fraction,4,,,,0.99991,0.99994,[67],
Total destruction and removal efficiency,DRE,5:3FTCA,DRE of  5:3FTCA,0,fraction,,,,,,,,Check for data! **New Compound**
Total destruction and removal efficiency,DRE,6:2FTCA,DRE of  6:2FTCA,0,fraction,,,,,,,,Check for data! **New Compound**
Total destruction and removal efficiency,DRE,7:3FTCA,DRE of  7:3FTCA,0,fraction,,,,,,,,Check for data! **New Compound**
Total destruction and removal efficiency,DRE,6:2FTS,DRE of  6:2FTS,0,fraction,,,,,,,,Check for data! **New Compound**
Total destruction and removal efficiency,DRE,MeFBSAA,DRE of  MeFBSAA,0,fraction,,,,,,,,Check for data! **New Compound**
Total destruction and removal efficiency,DRE,nMeFOSAA,DRE of  nMeFOSAA,0,fraction,,,,,,,,Check for data! **New Compound**
Total destruction and removal efficiency,DRE,PFBSA,DRE of  PFBSA,0,fraction,,,,,,,,Check for data! **New Compound**
Total destruction and removal efficiency,DRE,PFPeS,DRE of  PFPeS,0,fraction,,,,,,,,Check for data! **New Compound**
SCWO parameters,SCWO,frac_water_to_steam,Fraction of incoming water to steam,0.01,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_slurry,Fraction of incoming water to slurry,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_steam,Fraction of destroyed and removed that remains in steam,0,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_slurry,Fraction of destroyed and removed that remains in slurry,0,fraction,,,,,,,,
