Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Soil Log partition coefficient,SoilLogPartCoef,PFOA,PFOA Log Koc (soils),2.45,log L/kg OC,3,2.45,0.21,,1.43,3.49,,
Soil Log partition coefficient,SoilLogPartCoef,PFOS,PFOS Log Koc (soils),3.2,log L/kg OC,3,3.2,0.19,,2.13,3.91,,
Soil Log partition coefficient,SoilLogPartCoef,PFBA,PFBA Log Koc  (soils),1.85,log L/kg OC,3,1.85,0.11,,0.96,2.81,,
Soil Log partition coefficient,SoilLogPartCoef,PFPeA,PFPeA Log Koc (soils),1.78,log L/kg OC,3,1.78,0.08,,0.95,2.69,,
Soil Log partition coefficient,SoilLogPartCoef,PFHxA,PFHxA Log Koc (soils),1.83,log L/kg OC,3,1.83,0.13,,1.02,2.76,,
Soil Log partition coefficient,SoilLogPartCoef,PFHpA,PFHpA Log Koc (soils),2.23,log L/kg OC,3,2.23,0.16,,1.12,3.17,,
Soil Log partition coefficient,SoilLogPartCoef,PFNA,PFNA Log Koc  (soils),2.85,log L/kg OC,3,2.85,0.23,,1.54,3.75,,
Soil Log partition coefficient,SoilLogPartCoef,PFDA,PFDA Log Koc  (soils),3.43,log L/kg OC,3,3.43,0.19,,2.01,4.39,,
Soil Log partition coefficient,SoilLogPartCoef,PFBS,PFBS Log Koc (soils),1.8,log L/kg OC,3,1.8,0.12,,1.01,2.65,,
Soil Log partition coefficient,SoilLogPartCoef,PFHxS,PFHxS Log Koc (soils),2.28,log L/kg OC,3,2.28,0.2,,1.3,3.15,,
Soil Log partition coefficient,SoilLogPartCoef,5:3FTCA,5:3FTCA Log Koc (soils),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Soil Log partition coefficient,SoilLogPartCoef,6:2FTCA,6:2FTCA Log Koc (soils),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Soil Log partition coefficient,SoilLogPartCoef,7:3FTCA,7:3FTCA Log Koc (soils),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Soil Log partition coefficient,SoilLogPartCoef,6:2FTS,6:2FTS Log Koc (soils),2.26,log L/kg OC,3,2.26,0.18,,1.02,4.25,,
Soil Log partition coefficient,SoilLogPartCoef,MeFBSAA,MeFBSAA Log Koc (soils),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Soil Log partition coefficient,SoilLogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (soils),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Soil Log partition coefficient,SoilLogPartCoef,PFBSA,PFBSA Log Koc (soils),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Soil Log partition coefficient,SoilLogPartCoef,PFPeS,PFPeS Log Koc (soils),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Stabilization,Stabil,depth_mix,Depth of contamination to be treated,1,m,,,,,,,,
Stabilization,Stabil,appl_dens,Mass applied per area,20,kg/m2,,,,,,,,
Stabilization,Stabil,bulk_dens,Bulk density of contaminated soil to be treated,1175,kg/m3,,,,,,,,
Stabilization,Stabil,add_mass_ratio,Mass of additive per mass of soil,0.05,kg add./kg soil,4,,,,0.025,0.1,,
Stabilization,Stabil,is_stay_inplace,Is the stabilized soil stay in place,0,"1:TRUE,0:FALSE",,,,,,,,User should update based on process design
Additive Properties,AddProp,ts_cont,Additive total solids content -wet,1,fraction wet weight,,,,,,,,
Additive Properties,AddProp,bulk_dens,Additive bulk density - wet,1000,kg/m3,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFOA,PFOA Log K (Additive),3.9,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFOS,PFOS Log K (Additive),4.3,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFBA,PFBA Log K  (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFPeA,PFPeA Log K (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFHxA,PFHxA Log K (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFHpA,PFHpA Log K (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFNA,PFNA Log K  (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFDA,PFDA Log K  (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFBS,PFBS Log K (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,PFHxS,PFHxS Log K (Additive),0,log L/kg,,,,,,,,
Additive Log partition coefficient,AddLogPartCoef,5:3FTCA,5:3FTCA Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Additive Log partition coefficient,AddLogPartCoef,6:2FTCA,6:2FTCA Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Additive Log partition coefficient,AddLogPartCoef,7:3FTCA,7:3FTCA Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Additive Log partition coefficient,AddLogPartCoef,6:2FTS,6:2FTS Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Additive Log partition coefficient,AddLogPartCoef,MeFBSAA,MeFBSAA Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Additive Log partition coefficient,AddLogPartCoef,nMeFOSAA,nMeFOSAA Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Additive Log partition coefficient,AddLogPartCoef,PFBSA,PFBSA Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Additive Log partition coefficient,AddLogPartCoef,PFPeS,PFPeS Log K (Additive),0,log L/kg,,,,,,,,Check for data! **New Compound**
Precipitation Data,Precip,ann_precip,Annual precipitation,1.13,m/yr,,1.13,0.15095161,,0.85056,1.46895,,
Precipitation Data,Precip,frac_runoff,Fraction of incoming precipitation to run-off,0.3,frac,,,,,,,,
Precipitation Data,Precip,frac_ET,Fraction of incoming precipitation to ET,0.65,frac,,,,,0.033,1,,
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
