Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;14263;14083;33690;0;[GWh]. 
Electricity;variable;LIGHTING;7680;11065;11111;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;50436;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;70242;34821;13118;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;17955;7806;3399;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;194081;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;98034;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;53109;0;[GWh]
