formula,prediction,density,Peak Score
Ac,50.634,0.436,1.822
Ag3P11,82.833,0.037,1.448
AcAu3,81.136,0.269,1.403
Ag2O,75.928,0.841,0.947
Ag2CO3,71.549,0.721,0.866
AcGa3,47.496,0.210,0.340
Ac2NiIr,69.315,0.697,0.326
Ac2ZnGe,47.611,1.709,0.144
AcI3,46.278,0.000,0.143
Ac2CuIr,66.516,0.856,0.020
