formula,prediction,density,Density Score
Ag3P11,82.833,0.037,2.838
AcAu3,81.136,0.269,2.196
Ag2MoO4,58.264,0.002,1.088
AcCdRh2,58.767,0.026,1.072
AcHgAu2,64.784,0.396,0.696
Ag2O,75.928,0.841,0.534
Ag2CO3,71.549,0.721,0.475
Ac2NiIr,69.315,0.697,0.362
AcI3,46.278,0.000,0.201
Ag2SeO3,59.448,0.451,0.176
